Exercise 14
* Reverse all fax phone numbers, keeping the phone numbers in a valid format
* List all of the new fax phone number values


mysql> SELECT content, subtype, REVERSE(content) FROM Phone WHERE subtype="fax";
+----------------+---------+------------------+
| content        | subtype | REVERSE(content) |
| (687) 827-8428 | fax     | 8248-728 )786(   |
| (963) 651-4534 | fax     | 4354-156 )369(   |
| (858) 330-9317 | fax     | 7139-033 )858(   |
| (250) 550-6916 | fax     | 6196-055 )052(   |
| (159) 511-8461 | fax     | 1648-115 )951(   |
| (601) 895-2056 | fax     | 6502-598 )106(   |
| (701) 964-5955 | fax     | 5595-469 )107(   |
| (679) 908-4296 | fax     | 6924-809 )976(   |
| (361) 816-6508 | fax     | 8056-618 )163(   |
| (704) 683-7022 | fax     | 2207-386 )407(   |
| (293) 747-0227 | fax     | 7220-747 )392(   |
| (571) 597-1964 | fax     | 4691-795 )175(   |
| (558) 179-3051 | fax     | 1503-971 )855(   |
| (851) 385-0419 | fax     | 9140-583 )158(   |
| (458) 565-9051 | fax     | 1509-565 )854(   |
| (617) 690-0631 | fax     | 1360-096 )716(   |
| (281) 115-9992 | fax     | 2999-511 )182(   |
| (716) 705-6819 | fax     | 9186-507 )617(   |
| (923) 928-3564 | fax     | 4653-829 )329(   |
| (937) 354-0507 | fax     | 7050-453 )739(   |
| (458) 685-2169 | fax     | 9612-586 )854(   |
| (365) 407-7137 | fax     | 7317-704 )563(   |
| (570) 799-7795 | fax     | 5977-997 )075(   |
| (125) 323-3671 | fax     | 1763-323 )521(   |
| (181) 103-5339 | fax     | 9335-301 )181(   |
| (617) 143-2564 | fax     | 4652-341 )716(   |
| (621) 860-2122 | fax     | 2212-068 )126(   |
| (818) 698-7644 | fax     | 4467-896 )818(   |
| (680) 813-3593 | fax     | 3953-318 )086(   |
| (891) 524-3233 | fax     | 3323-425 )198(   |
| (682) 876-6920 | fax     | 0296-678 )286(   |
| (413) 583-4715 | fax     | 5174-385 )314(   |
| (696) 723-3133 | fax     | 3313-327 )696(   |
| (188) 946-1956 | fax     | 6591-649 )881(   |
| (646) 128-7695 | fax     | 5967-821 )646(   |
| (564) 527-7972 | fax     | 2797-725 )465(   |
| (299) 333-3775 | fax     | 5773-333 )992(   |
| (428) 217-3292 | fax     | 2923-712 )824(   |
| (507) 900-6936 | fax     | 6396-009 )705(   |
| (313) 291-1517 | fax     | 7151-192 )313(   |
| (119) 277-3714 | fax     | 4173-772 )911(   |
| (936) 412-7412 | fax     | 2147-214 )639(   |
| (437) 485-7225 | fax     | 5227-584 )734(   |
| (368) 973-6749 | fax     | 9476-379 )863(   |
| (860) 888-9411 | fax     | 1149-888 )068(   |
| (267) 584-8877 | fax     | 7788-485 )762(   |
| (401) 937-8653 | fax     | 3568-739 )104(   |
| (111) 427-5046 | fax     | 6405-724 )111(   |
| (455) 489-3832 | fax     | 2383-984 )554(   |
| (652) 237-3189 | fax     | 9813-732 )256(   |
| (368) 679-3181 | fax     | 1813-976 )863(   |
| (613) 519-0166 | fax     | 6610-915 )316(   |
| (147) 218-4434 | fax     | 4344-812 )741(   |
| (178) 364-2317 | fax     | 7132-463 )871(   |
| (706) 875-8839 | fax     | 9388-578 )607(   |
| (163) 444-8389 | fax     | 9838-444 )361(   |
| (668) 896-3686 | fax     | 6863-698 )866(   |
| (725) 668-6938 | fax     | 8396-866 )527(   |
| (554) 191-6945 | fax     | 5496-191 )455(   |
| (800) 530-8240 | fax     | 0428-035 )008(   |
| (853) 261-4676 | fax     | 6764-162 )358(   |
| (611) 915-9131 | fax     | 1319-519 )116(   |
| (145) 424-7687 | fax     | 7867-424 )541(   |
| (153) 270-5845 | fax     | 5485-072 )351(   |
| (194) 426-4616 | fax     | 6164-624 )491(   |
| (102) 652-9086 | fax     | 6809-256 )201(   |
| (617) 437-3901 | fax     | 1093-734 )716(   |
| (477) 988-6129 | fax     | 9216-889 )774(   |
| (717) 636-3116 | fax     | 6113-636 )717(   |
| (885) 833-3865 | fax     | 5683-338 )588(   |
| (308) 604-0548 | fax     | 8450-406 )803(   |
| (888) 720-5790 | fax     | 0975-027 )888(   |
| (218) 130-6012 | fax     | 2106-031 )812(   |
| (763) 587-6000 | fax     | 0006-785 )367(   |
| (960) 910-8774 | fax     | 4778-019 )069(   |
| (618) 373-2012 | fax     | 2102-373 )816(   |
| (685) 293-4423 | fax     | 3244-392 )586(   |
| (756) 675-7656 | fax     | 6567-576 )657(   |
| (179) 554-2897 | fax     | 7982-455 )971(   |
| (336) 491-8163 | fax     | 3618-194 )633(   |
| (953) 655-1206 | fax     | 6021-556 )359(   |
| (259) 576-6043 | fax     | 3406-675 )952(   |
| (100) 854-2778 | fax     | 8772-458 )001(   |
| (628) 686-5828 | fax     | 8285-686 )826(   |
| (781) 250-9787 | fax     | 7879-052 )187(   |
| (511) 271-1922 | fax     | 2291-172 )115(   |
| (878) 528-0091 | fax     | 1900-825 )878(   |
| (894) 308-0955 | fax     | 5590-803 )498(   |
| (841) 610-0236 | fax     | 6320-016 )148(   |
| (995) 731-6966 | fax     | 6696-137 )599(   |
| (940) 961-7788 | fax     | 8877-169 )049(   |
| 1-923-788-5890 | fax     | 0985-887-329-1   |
| 1-338-670-3648 | fax     | 8463-076-833-1   |
| 1-257-867-0566 | fax     | 6650-768-752-1   |
| 1-436-895-8796 | fax     | 6978-598-634-1   |
| 1-889-800-9270 | fax     | 0729-008-988-1   |
| 1-303-638-4150 | fax     | 0514-836-303-1   |
| 1-526-858-8854 | fax     | 4588-858-625-1   |
| 1-520-727-8601 | fax     | 1068-727-025-1   |
| 1-795-477-6585 | fax     | 5856-774-597-1   |
| 1-262-471-8898 | fax     | 8988-174-262-1   |
| 1-213-934-5487 | fax     | 7845-439-312-1   |
| 1-619-326-3662 | fax     | 2663-623-916-1   |
| 1-598-766-9531 | fax     | 1359-667-895-1   |
| 1-286-745-2897 | fax     | 7982-547-682-1   |
| 1-811-990-2618 | fax     | 8162-099-118-1   |
| 1-410-492-3992 | fax     | 2993-294-014-1   |
| 1-769-175-6037 | fax     | 7306-571-967-1   |
| 1-336-193-1111 | fax     | 1111-391-633-1   |
| 1-116-157-3520 | fax     | 0253-751-611-1   |
| 1-924-830-4859 | fax     | 9584-038-429-1   |
| 1-650-808-7230 | fax     | 0327-808-056-1   |
| 1-873-432-9306 | fax     | 6039-234-378-1   |
| 1-261-817-4211 | fax     | 1124-718-162-1   |
| 1-847-924-9396 | fax     | 6939-429-748-1   |
| 1-355-753-8028 | fax     | 8208-357-553-1   |
| 1-387-726-9538 | fax     | 8359-627-783-1   |
| 1-245-342-8807 | fax     | 7088-243-542-1   |
| 1-418-921-5849 | fax     | 9485-129-814-1   |
| 1-115-604-8551 | fax     | 1558-406-511-1   |
| 1-933-986-6219 | fax     | 9126-689-339-1   |
| 1-823-223-5247 | fax     | 7425-322-328-1   |
| 1-406-473-2934 | fax     | 4392-374-604-1   |
| 1-781-983-4034 | fax     | 4304-389-187-1   |
| 1-830-179-3094 | fax     | 4903-971-038-1   |
| 1-876-198-9851 | fax     | 1589-891-678-1   |
| 1-433-115-6363 | fax     | 3636-511-334-1   |
| 1-653-553-6385 | fax     | 5836-355-356-1   |
| 1-674-209-7387 | fax     | 7837-902-476-1   |
| 1-551-236-8123 | fax     | 3218-632-155-1   |
| 1-602-261-0181 | fax     | 1810-162-206-1   |
| 1-687-372-5982 | fax     | 2895-273-786-1   |
| 1-649-149-4033 | fax     | 3304-941-946-1   |
| 1-986-619-9252 | fax     | 2529-916-689-1   |
| 1-304-301-0026 | fax     | 6200-103-403-1   |
| 1-230-850-6706 | fax     | 6076-058-032-1   |
| 1-712-873-5099 | fax     | 9905-378-217-1   |
| 1-387-871-9476 | fax     | 6749-178-783-1   |
| 1-107-768-7113 | fax     | 3117-867-701-1   |
| 1-835-432-1108 | fax     | 8011-234-538-1   |
| 1-407-967-5039 | fax     | 9305-769-704-1   |
| 1-804-978-1220 | fax     | 0221-879-408-1   |
| 1-337-678-4326 | fax     | 6234-876-733-1   |
| 1-200-915-5809 | fax     | 9085-519-002-1   |
| 1-990-136-5147 | fax     | 7415-631-099-1   |
| 1-585-936-6793 | fax     | 3976-639-585-1   |
| 1-924-707-1487 | fax     | 7841-707-429-1   |
| 1-481-326-7608 | fax     | 8067-623-184-1   |
| 1-358-224-0501 | fax     | 1050-422-853-1   |
| 1-693-568-4932 | fax     | 2394-865-396-1   |
| 1-494-804-9234 | fax     | 4329-408-494-1   |
+----------------+---------+------------------+
660 rows in set (0.00 sec)
